2022-08-24 10:05:27,624 INFO    MainThread:1321932 [wandb_setup.py:_flush():76] Configure stats pid to 1321932
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_setup.py:_flush():76] Loading settings from /home/rohit/.config/wandb/settings
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_setup.py:_flush():76] Loading settings from /home/rohit/Documents/Research/Planning_with_transformers/Decision_transformer/my-dec-transformer/src/wandb/settings
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'my-dec-transformer/src/train_model.py', 'program': '/home/rohit/Documents/Research/Planning_with_transformers/Decision_transformer/my-dec-transformer/src/train_model.py'}
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_init.py:_log_setup():461] Logging user logs to /home/rohit/Documents/Research/Planning_with_transformers/Decision_transformer/my-dec-transformer/src/wandb/run-20220824_100527-1enlyyn6/logs/debug.log
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_init.py:_log_setup():462] Logging internal logs to /home/rohit/Documents/Research/Planning_with_transformers/Decision_transformer/my-dec-transformer/src/wandb/run-20220824_100527-1enlyyn6/logs/debug-internal.log
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_init.py:init():495] calling init triggers
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {'architecture': 'transformer'}
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_init.py:init():548] starting backend
2022-08-24 10:05:27,625 INFO    MainThread:1321932 [wandb_init.py:init():552] setting up manager
2022-08-24 10:05:27,630 INFO    MainThread:1321932 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-08-24 10:05:27,631 INFO    MainThread:1321932 [wandb_init.py:init():558] backend started and connected
2022-08-24 10:05:27,633 INFO    MainThread:1321932 [wandb_init.py:init():636] updated telemetry
2022-08-24 10:05:27,634 INFO    MainThread:1321932 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-08-24 10:05:28,596 INFO    MainThread:1321932 [wandb_run.py:_on_init():1982] communicating current version
2022-08-24 10:05:28,936 INFO    MainThread:1321932 [wandb_run.py:_on_init():1986] got version response 
2022-08-24 10:05:28,936 INFO    MainThread:1321932 [wandb_init.py:init():700] starting run threads in backend
2022-08-24 10:05:28,963 INFO    MainThread:1321932 [wandb_run.py:_console_start():1962] atexit reg
2022-08-24 10:05:28,963 INFO    MainThread:1321932 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-24 10:05:28,964 INFO    MainThread:1321932 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-24 10:05:28,964 INFO    MainThread:1321932 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-24 10:05:28,964 INFO    MainThread:1321932 [wandb_init.py:init():732] run started, returning control to user process
2022-08-24 10:05:31,116 INFO    MainThread:1321932 [wandb_watch.py:watch():47] Watching
2022-08-24 10:10:29,504 WARNING MsgRouterThr:1321932 [router.py:message_loop():76] message_loop has been closed
